SA2_CODE21,LST_slope,LST_p,LST_trend,NDVI_slope,NDVI_p,NDVI_trend,NDBI_slope,NDBI_p,NDBI_trend
206011106,-0.008760967652248208,0.8335157043083457,no trend,0.0034440865223465842,0.00029458014258532117,increasing,-0.0015981259577071876,0.0022170615811702987,decreasing
206011107,-0.0010510723435411152,1.0,no trend,0.0033876507199055925,0.00042093182771774096,increasing,-0.0015052663371330562,0.010906151033361455,decreasing
206011109,-0.005741521130750506,0.9813671252686653,no trend,0.0027763553560720884,0.010906151033361455,increasing,-0.0015326673806806974,0.016147623299816338,decreasing
206011495,-0.04140464695051227,0.498219385345291,no trend,0.0029694449836901327,5.3357947806809136e-05,increasing,-0.00024207963340259174,0.29327072669776233,no trend
206011496,0.0006046407714903061,0.9813671252686653,no trend,0.0033089122373977813,1.5555676707190713e-05,increasing,-0.0008657172929686209,0.020769866768182377,decreasing
206011497,-0.04755417692222944,0.5911541483740381,no trend,0.0031507519071568143,0.004714044997715217,increasing,-0.001386161920172857,0.020769866768182377,decreasing
206011498,-0.013285169037703387,0.8335157043083457,no trend,0.002888698250480627,0.0018950157955626157,increasing,-0.0007196501828320818,0.10707235212149269,no trend
206021110,0.02779331880057375,0.6238124360692694,no trend,0.002753641106755524,0.0030162106167233027,increasing,-0.000935005790430333,0.06503135683341554,no trend
206021112,-0.013644793284910861,0.7260951618325295,no trend,0.0032106711012936,0.0022170615811702987,increasing,-0.001323725762632108,0.023486186933639575,decreasing
206021499,0.028633855051028688,0.7260951618325295,no trend,0.003719478132099335,0.00011640806991186636,increasing,-0.0012783028893914505,0.005448604576648863,decreasing
206021500,0.002991652470099515,0.944141999801307,no trend,0.0039566998110989095,0.00016981157303574967,increasing,-0.0019383296489316054,0.0030162106167233027,decreasing
206031113,-0.01757155751797461,0.8335157043083457,no trend,0.003099004557282601,0.012455077396482883,increasing,-0.0012632140904700441,0.11763382782129739,no trend
206031115,-0.04604365793221768,0.3623776993195864,no trend,0.003759133840255362,4.367622598744347e-05,increasing,-0.001971994478673799,0.001168988918142766,decreasing
206031116,0.017146675673330326,0.8335157043083457,no trend,0.0031722225044901586,0.0008385067770961818,increasing,-0.0012166465253188783,0.047125304183912364,decreasing
206031501,-0.011404395955226803,0.9070384808036946,no trend,0.0023618267319892024,0.052566837375503495,no trend,-0.0013855071260921825,0.052566837375503495,no trend
206031502,-0.0067572508097157,0.8701367570919354,no trend,0.002592471371453008,0.005448604576648863,increasing,-0.0011375039570805695,0.06503135683341554,no trend
206041117,-0.018043973159056446,0.7972523796379414,no trend,0.0036374462724608463,3.567683545258049e-05,increasing,-0.0011612828816935977,0.0035073847992901364,decreasing
206041118,-0.11850415798843289,0.052566837375503495,no trend,0.00379028535452297,4.019580202019313e-07,increasing,0.0005266605110586005,0.1411929728237964,no trend
206041119,-0.007930537267639601,0.9070384808036946,no trend,0.0035786141826490937,0.00016981157303574967,increasing,-0.002194380088026156,0.00020446098532356238,decreasing
206041120,-0.03734986964038856,0.5593049468922573,no trend,0.005572610125060729,3.567683545258049e-05,increasing,-0.004412276931812918,2.6745756389612296e-06,decreasing
206041121,-0.028989572198767397,0.5911541483740381,no trend,0.00400907252105269,1.9203218714070047e-05,increasing,-0.001688518045613945,0.0022170615811702987,decreasing
206041124,-0.08672351484136909,0.09727654970369648,no trend,0.005074640584424339,0.0030162106167233027,increasing,-0.0044364843231977456,0.001168988918142766,decreasing
206041125,0.006622715595221295,0.944141999801307,no trend,0.0020453493970032533,0.023486186933639575,increasing,-0.0006360944824629007,0.19895893109240226,no trend
206041127,0.004286135948039949,0.9813671252686653,no trend,0.0010361865480329486,0.0025885719761729042,increasing,0.0008872529109958497,0.11763382782129739,no trend
206041503,0.014263324898183428,0.7260951618325295,no trend,0.00391451413856928,5.131806497526981e-07,increasing,0.00012376467225126917,0.5911541483740381,no trend
206041504,-0.10719493027222465,0.09727654970369648,no trend,0.0035006544810053638,6.85244367915061e-08,increasing,-0.0004716394643897783,0.07212432275983494,no trend
206041505,-0.027675180223462596,0.6238124360692694,no trend,0.0037959149475503976,4.019580202019313e-07,increasing,-0.0003137771187366389,0.1542575118326619,no trend
206041506,-0.03551199443201612,0.6238124360692694,no trend,0.003625125144003229,1.2574637393125698e-05,increasing,-0.0010978175170100446,0.010906151033361455,decreasing
206041507,0.012206681062202695,0.8701367570919354,no trend,0.002187124867818654,0.026505643985675675,increasing,-0.0022895103215308486,0.004714044997715217,decreasing
206041508,-0.05201517122022674,0.3152515554041373,no trend,0.0015456090658646227,0.009530847381806318,increasing,0.0007009403995919424,0.026505643985675675,increasing
206041509,-0.06456342008644361,0.08821070970409317,no trend,0.0046992556291806245,3.141766240499777e-07,increasing,-0.002576354297089821,8.879022317387353e-08,decreasing
206041510,-0.04122359522135467,0.5911541483740381,no trend,0.004451953205704407,2.450469624992735e-07,increasing,-0.0019951350961449022,4.367622598744347e-05,decreasing
206051128,-0.005722840504382352,0.9070384808036946,no trend,0.00392980647741856,9.608161668706039e-05,increasing,-0.0016827542051821793,0.029854753709825932,decreasing
206051129,-0.07398086743992452,0.09727654970369648,no trend,0.002930891150759587,0.0022170615811702987,increasing,-0.0013585457113452063,0.026505643985675675,decreasing
206051130,-0.020414430475106504,0.5283124685330474,no trend,0.003931400982371068,0.00011640806991186636,increasing,-0.0022517879256933127,0.0007079791172892591,decreasing
206051134,-0.04554763998446211,0.23361300135229124,no trend,0.002567511410457267,0.0013760379927676425,increasing,-0.0006838115295202429,0.052566837375503495,no trend
206051511,0.030628732560462564,0.6572273920607943,no trend,0.0012007504934790749,0.11763382782129739,no trend,-0.000979188311456618,0.026505643985675675,decreasing
206051512,-0.025782624506323692,0.5911541483740381,no trend,0.0038180729831608236,5.258060130852726e-06,increasing,-0.0012148033399966983,0.0035073847992901364,decreasing
206051513,-0.02989698236110773,0.5593049468922573,no trend,0.0027921036667436037,0.0007079791172892591,increasing,-0.0005264640465733959,0.2157852878709825,no trend
206051514,-0.029448912875925465,0.5911541483740381,no trend,0.003253579088803531,0.0009910666009620428,increasing,-0.0018652206129624407,0.005448604576648863,decreasing
206061135,-0.0130733646636341,0.7260951618325295,no trend,0.0026215943501133442,0.0009910666009620428,increasing,-0.000572038114178233,0.07983871964585254,no trend
206061136,-0.02424760520128799,0.7614215361463608,no trend,0.0027639271683652577,7.913997769493086e-05,increasing,-0.00039589440271443086,0.16822084690819583,no trend
206061138,0.034574852400563516,0.5911541483740381,no trend,0.0025988996134781155,0.0025885719761729042,increasing,-0.0009767343759311674,0.014195743882660095,decreasing
206061515,-0.02704415882936337,0.5593049468922573,no trend,0.0023832258292098086,0.005448604576648863,increasing,-0.000747052163057098,0.2524605042504313,no trend
