SA2_CODE21,LST,NDVI,NDBI,pop,elderly,median_hhd_income,median_age,IRSD_score,IRSAD_score,area_km2,pop_density,elderly_pct,SUHI
206061136,32.86278047864148,0.2815211063680006,-0.006328682264257988,19119,2407,2098,34,1076.0,1123.0,2.9053,6580.731766082677,12.589570584235576,-0.7403578348326079
206061138,32.27038183912922,0.43205711474078284,-0.11121020654291303,12953,3521,2538,47,1104.0,1150.0,4.3233,2996.0909490435547,27.182891994132635,-1.332756474344869
206061515,32.24598013450978,0.3776989190047559,-0.0919611309008989,11192,939,2042,32,1090.0,1142.0,1.1696,9569.08344733242,8.389921372408864,-1.357158178964312
206061516,33.262463284039015,0.2645961941457323,-0.009866433707648576,9939,1423,2001,35,1030.0,1094.0,1.3475,7375.881261595548,14.317335748063185,-0.34067502943507577
206071139,34.092064069068584,0.27040190243809825,-0.014076853067629855,9088,854,2197,33,1077.0,1127.0,1.7405,5221.488078138466,9.397007042253522,0.4889257555944937
206071140,33.491451902664224,0.34732093562484984,-0.0524240903501921,8186,1264,2355,34,1087.0,1135.0,2.3042,3552.6429997396062,15.440996823845593,-0.11168641080986674
206071141,34.88783583710951,0.15765830759444355,0.052912841434068394,9179,650,2130,33,962.0,1045.0,1.2669,7245.244297103166,7.081381414097396,1.2846975236354226
206071142,34.11578086204235,0.20559590893760413,0.02339699829783182,10431,1156,2194,35,979.0,1066.0,1.3779,7570.215545395167,11.082350685456811,0.5126425485682589
206071143,33.7134033436585,0.3239278444111954,-0.03557083366544516,12781,2003,2300,36,1066.0,1125.0,2.5051,5101.991936449643,15.67170017995462,0.11026503018440792
206071145,31.81913072338777,0.48253908547159546,-0.13398438418854047,9855,1419,2529,37,1094.0,1143.0,5.2089,1891.954155387894,14.398782343987824,-1.784007590086322
206071517,33.64604652318175,0.27863832583280385,-0.0228593449258458,17671,1840,2577,33,1106.0,1158.0,4.2891,4119.978550278613,10.412540320298795,0.042908209707661626
206071518,34.5497327793001,0.2316684339756462,0.02123714379979118,13867,1606,2009,34,977.0,1048.0,1.9233,7210.003639577809,11.58145236893344,0.9465944658260099
207011146,32.22034193220602,0.46087833221222196,-0.0962219892400368,7952,1341,2743,41,1082.0,1126.0,2.8366,2803.356130578862,16.863682092555333,-1.3827963812680721
207011147,32.74035509648693,0.4539406968454557,-0.08439884768630847,16163,3532,2017,43,1064.0,1109.0,5.5851,2893.9499740380656,21.85237889005754,-0.862783216987161
207011148,33.037782133421686,0.46817699519498585,-0.08877039797521884,21123,3693,2350,42,1075.0,1115.0,8.8492,2386.9954346155587,17.48331202954126,-0.5653561800524045
207011149,32.598263868421135,0.46244853539322583,-0.08584752586494052,21232,4540,2472,43,1097.0,1137.0,7.2919,2911.723967690177,21.382818387339864,-1.0048744450529554
207011150,32.326660202893926,0.466413856277662,-0.08563206287530131,16829,2776,2914,41,1116.0,1155.0,5.7049,2949.920244000771,16.495335432883714,-1.2764781105801646
207011152,33.131727065292885,0.39028995247586323,-0.061288679275955237,15684,2362,2228,36,1091.0,1132.0,3.824,4101.464435146444,15.059933690385105,-0.47141124818120517
207011154,31.49246287715099,0.5413087563975467,-0.15077429901294273,6482,1143,2485,41,1087.0,1122.0,4.0154,1614.2850027394531,17.63344646713977,-2.110675436323099
207011155,31.836676773000107,0.4744535381761311,-0.09822591975906156,15944,3404,2709,45,1103.0,1143.0,5.7026,2795.917651597517,21.34972403411942,-1.7664615404739834
207011519,32.87285740876572,0.4089908594070394,-0.08770440194844764,9890,1455,2300,35,1088.0,1133.0,2.4558,4027.2009121263945,14.711830131445906,-0.7302809047083727
207011520,33.24942109567325,0.40521935259907843,-0.08306034477212547,11957,1697,2055,34,1087.0,1125.0,3.2163,3717.625843360383,14.192523208162584,-0.35371721780084187
207011521,33.00606449436617,0.4333290343381333,-0.0764736032804405,11601,2336,2577,42,1100.0,1143.0,4.3235,2683.2427431479123,20.13619515559004,-0.5970738191079192
207011522,32.02790528649175,0.4770922064036526,-0.12522065003953287,13039,2427,2459,41,1081.0,1126.0,6.2106,2099.4750909734967,18.613390597438453,-1.575233026982339
207021156,32.405440094300886,0.4898912873178186,-0.12386134487381481,11289,2726,1812,45,1047.0,1061.0,6.6711,1692.224670594055,24.147400124014528,-1.1976982191732048
207021157,33.55814433815731,0.4210908002577046,-0.07813650634718809,24814,5371,1595,40,1027.0,1057.0,8.7738,2828.1930292461648,21.64503909083582,-0.04499397531677829
