SA2_CODE21,elevation
206011106,46.48911377231701
206011107,39.26131914386689
206011109,55.18813046963721
206011495,56.15239695828536
206011496,49.875344636494376
206011497,57.26129083920561
206011498,64.6633743037915
206021110,41.83362063685125
206021112,57.44426079347455
206021499,47.23428470380196
206021500,46.218665801325585
206031113,22.046867752409415
206031115,25.42360415623435
206031116,31.692702253555122
206031501,47.97724195502345
206031502,44.35919310837922
206041117,45.174255046021905
206041118,7.168179396820187
206041119,24.408460394038666
206041120,12.371472882223632
206041121,14.478260369590961
206041124,39.14306962907873
206041125,24.53400412371136
206041127,6.0665665726267015
206041503,38.24268692472575
206041504,35.75564853556485
206041505,34.07661031984626
206041506,21.514852504943974
206041507,23.66634829672079
206041508,11.029373978042514
206041509,12.236548387096777
206041510,28.40095188699392
206051128,9.979421570660584
206051129,8.802993638031305
206051130,6.7591929510469875
206051134,22.976252149947143
206051511,6.775712486433615
206051512,12.617552579745396
206051513,19.411717001329993
206051514,12.109637070027485
206061135,55.67322152196627
206061136,31.07836223956307
206061138,40.193591755718145
206061515,21.872585534863592
206061516,19.772796183996444
206071139,21.983767307443465
206071140,44.72437908496731
206071141,28.27814819974923
206071142,39.994404302710905
206071143,39.22449733073891
206071145,29.203206501378453
206071517,17.24120145631069
206071518,22.03401224707136
207011146,51.9356398514087
207011147,80.01351854426716
207011148,55.618669311989855
207011149,65.47669341960069
207011150,47.56758077295539
207011152,50.425518566189545
207011154,29.9730983884116
207011155,87.97622518043586
207011519,33.52258847320525
207011520,31.25721813166862
207011521,66.31851309431832
207011522,43.536951964855064
207021156,36.96563727609344
207021157,81.70147578715313
207021159,64.57865421524356
207021160,58.956308924080936
207021424,88.11634965123054
207021425,105.58479903452623
207031161,101.6732715659232
207031162,102.74333268309
207031163,91.3215241045389
207031164,76.25157176180302
207031165,84.29677799743352
207031166,120.84765590795254
207031167,105.56256855195572
208011168,26.52269674768512
208011169,14.88528578448918
208011170,25.693811568803213
208011171,40.86755632826629
208011172,26.278188774393513
208011173,29.747806838702154
208021174,35.03383699084625
208021176,48.59869528209333
208021177,43.34724149760639
208021178,35.14283982948589
208021179,25.203517435564226
208021180,57.04211098617313
208021181,49.96836951427461
208021182,42.30693698964664
208021426,54.776702003128925
208021427,51.41864952820163
208031183,5.12977943261071
208031184,12.331359380686143
208031185,6.336816104517564
208031186,7.480461351493892
208031187,6.241097114547977
208031188,35.75214410931166
208031189,7.09786523932499
208031190,23.225821519621356
208031191,36.4916878490255
208031192,16.41504368664202
208031193,13.677073631136452
208041194,40.32712572748572
208041195,46.65660227178508
209011196,106.60915681648798
209011197,82.6585076412954
209011198,54.332696861816416
209011199,75.29853654133306
209011200,47.27872522324405
209011201,44.92299398021082
209011202,61.20487283589806
209011203,60.23151344398847
209011204,89.6779076629292
209021205,93.54782448078316
209021428,69.77789021159761
209021429,67.91383900274667
209021523,96.34593049133632
209021524,89.99052738370827
209021525,85.69612881945486
209021526,83.47976239502948
209031209,67.70405237140531
209031210,120.57097727538927
209031211,559.9520515571246
209031212,222.2732272546102
209031213,143.40471601829853
209031214,124.88359004754253
209031215,100.138601916165
209041216,101.66435038731669
209041217,98.14323751294303
209041220,134.70196407008552
209041221,114.26124853596866
209041223,107.38409492073868
209041224,439.28615214980397
209041225,309.7363869540309
209041431,151.80494038571302
209041432,144.386935822111
209041433,149.54346282272775
209041435,173.28668595380728
209041436,144.8266446368639
209041437,195.26448271872005
209041527,177.88353585945794
209041528,160.72756873552632
209041529,116.58574635410382
209041530,125.85594539061358
209041531,183.4717298819881
209041532,179.95995606847742
210011226,74.60549642964624
210011227,79.82126188289233
210011228,63.1675817243193
210011230,44.487689676701365
210011231,61.05335543463902
210011533,39.17416099715088
210011534,59.70851323532089
210021232,481.8625137899312
210021233,605.9612282776769
210021234,472.8065611860666
210021235,461.64472301120804
210031236,68.11819466207709
210031237,83.89651965078396
210031439,85.16783031666724
210031440,80.6695751107037
210031535,95.67683446413075
210031536,89.47508518090805
210031537,60.600889998371926
210031538,74.42343070096072
210041240,259.93766962719684
210041539,229.12910126103063
210041540,199.22269238118074
210041541,365.28844646725577
210051242,117.29972695937695
210051243,136.56284332416425
210051245,105.286547024693
210051246,165.0169271988593
210051247,138.7561064172254
210051248,104.06246053231608
210051250,101.61356297093656
210051441,205.68144514668418
210051442,222.5056212572032
210051443,207.0465854538739
210051445,243.3341004880315
210051542,245.0076384221683
210051543,224.73121134465163
210051544,167.0707692658537
210051545,191.9771029234203
211011251,106.3864627735594
211011254,69.48357933762234
211011255,124.46102008921936
211011256,68.9695725134216
211011257,72.42140729098239
211011258,76.53874763375775
211011259,99.17703791942039
211011260,78.92943756064804
211011446,126.5981309660984
211011447,128.86859374385344
211011448,106.10794423665426
211011449,203.81901529645066
211021261,113.52571967625097
211021262,92.60534052042824
211031263,118.87876522002745
211031265,130.82306795460903
211031266,125.53219602320067
211031267,132.3067334675779
211031268,147.45624879892387
211031450,116.56596072966192
211031451,138.53961822967972
211031452,120.74223057204063
211041269,124.9604963780147
211041270,133.4242811718514
211041271,126.58476018476722
211041272,123.60223491161443
211041273,98.7036811187674
211051274,181.35193017676522
211051275,101.18210914669535
211051276,287.8719575215117
211051277,137.60918822425603
211051278,100.82779985783709
211051279,206.07652326018757
211051280,200.4111969203603
211051281,134.77344805361952
211051282,373.16525656061
211051283,200.13383011398673
211051284,229.25827917010008
211051285,162.92539764147264
211051286,488.9742797673282
212011289,242.6153394524061
212011546,86.707046644712
212011547,76.94878477551293
212011548,20.32446852866889
212011549,78.89325478590634
212011550,92.0383629413542
212011551,22.78631890557701
212011552,25.351723650273083
212021293,76.83357156048486
212021295,37.5149714965738
212021297,39.5426014534577
212021299,111.43980675471657
212021453,79.453845317014
212021454,64.71016852340749
212021455,48.21459426653815
212021456,28.678709223892273
212021553,49.79014196100992
212021554,27.68722271740718
212031300,58.169258750318605
212031303,36.43896765944841
212031304,40.35659830178377
212031306,27.3001987597121
212031308,12.484225236016455
212031457,36.47933407111583
212031458,37.94527788374074
212031555,33.09501772104816
212031556,30.99764558094627
212031557,42.6241132819241
212031558,51.022838330879146
212031559,41.76571903360713
212031560,41.282891146467406
212031561,33.156729985202176
212031562,28.98223365259548
212041309,47.16138124609344
212041310,49.00697550083338
212041312,55.90352102780817
212041313,27.93009405363929
212041316,66.16592008245466
212041317,58.11409818255889
212041318,36.88790928513463
212041459,48.80370812274609
212041460,35.788007688840274
212041563,39.187023731089134
212041564,15.242838493913409
212041565,24.039362250949882
212041566,10.019142968437421
212051319,66.50842827162349
212051321,93.80920536084268
212051322,115.79221793188172
212051323,111.688492323842
212051324,100.97802984559647
212051325,80.50636433824646
212051326,71.96146672653447
212051327,93.54812564050995
212051567,88.03498041997592
212051568,69.43499096972616
