SA2_CODE21,SA2_NAME21,year,NDVI,NDBI,NDWI,LST
206011106,Brunswick East,2000,0.26428313179045737,0.013620954214527088,-0.3188285354051416,34.64914068533604
206011107,Brunswick West,2000,0.3041324249863909,-0.007114087798013652,-0.35832642393831443,34.3754404028988
206011109,Pascoe Vale South,2000,0.3593378916790852,-0.019743173256860935,-0.4135068457765021,33.994713340484964
206011495,Brunswick - North,2000,0.20858828678534852,0.04779973181661797,-0.269843968648077,35.07892990243697
206011496,Brunswick - South,2000,0.1756564649724054,0.0474580359091964,-0.2252578150259886,35.52533297659904
206011497,Coburg - East,2000,0.3097531041248531,-0.005780799449185375,-0.3641426960141187,34.617733613356684
206011498,Coburg - West,2000,0.3004431232481246,0.013842414210962307,-0.3660858468733215,34.160172766511316
206021110,Alphington - Fairfield,2000,0.34024773272308245,-0.03010789123136795,-0.37942342402003665,32.755117495364225
206021112,Thornbury,2000,0.31140825929017496,-0.0016361602751405902,-0.3634477352883407,33.87087618941208
206021499,Northcote - East,2000,0.3050774400856752,-0.013623821114482603,-0.35290215625626176,33.10579183313991
206021500,Northcote - West,2000,0.3180724891215942,-0.015528536477436097,-0.36268837668546816,33.331050117047866
206031113,Ascot Vale,2000,0.3306286985166768,-0.026725132595857782,-0.374237182293838,33.972757696010696
206031115,Flemington,2000,0.2905995042788318,-0.02707564951775627,-0.3316650148146629,33.313255903383585
206031116,Moonee Ponds,2000,0.3102170509797955,-0.02521743346869418,-0.35456006249784444,34.20325114918277
206031501,Essendon (West) - Aberfeldie,2000,0.3570646397072948,-0.026589215931869917,-0.40973672896333263,33.994366069977644
206031502,Essendon - East,2000,0.35031245209059797,-0.0401696101037604,-0.3980708279792139,34.09830025464935
206041117,Carlton,2000,0.2400638805646945,-0.029394051875883224,-0.2647785546186145,33.706935779244255
206041118,Docklands,2000,0.0336127922667221,0.0018881545306952015,-0.05810945764382693,33.68012705189703
206041119,East Melbourne,2000,0.3610305549974465,-0.11644256916865689,-0.37317446474596055,32.39246057907388
206041120,Flemington Racecourse,2000,0.35520108655774046,-0.04363709501283161,-0.3924642527081291,34.66923307426399
206041121,Kensington (Vic.),2000,0.22835011873827504,-0.0017605487722093974,-0.27037014045818697,34.02435668114962
206041124,Parkville,2000,0.40175325207711493,-0.08423900373041784,-0.4387582473284599,33.33850125245087
206041125,South Yarra - West,2000,0.43645067046477254,-0.14457851161294846,-0.4396489507236339,31.135603681173155
206041127,West Melbourne - Industrial,2000,0.06676087434823982,-0.00576147762693787,-0.09798232581542682,34.1692234145448
206041503,Melbourne CBD - East,2000,0.08998840930121715,0.03657704551871646,-0.12680315616985843,32.69921534616527
206041504,Melbourne CBD - North,2000,0.08011322399572247,0.04405983179595098,-0.12029749443635268,34.987031930837475
206041505,Melbourne CBD - West,2000,0.09466667140585076,0.02410090075075116,-0.12646747089170143,32.604369128897126
206041506,North Melbourne,2000,0.18682155239511136,0.010103057946938564,-0.22184752939426128,34.90587165861107
206041507,Royal Botanic Gardens Victoria,2000,0.6383770245387969,-0.29348646332172373,-0.6062128415217994,27.51151218971775
206041508,Southbank (West) - South Wharf,2000,0.12328907245582826,-0.01153693188533015,-0.16072815169620766,34.384325835712225
206041509,Southbank - East,2000,0.14782984154621426,0.03625916423429571,-0.18973212151198868,35.381985073298566
206041510,West Melbourne - Residential,2000,0.16793255675304075,0.017169314162100706,-0.20310274046324459,34.78055765505289
206051128,Albert Park,2000,0.2691284315005647,-0.08273652997043261,-0.28330277974477264,31.620496840925753
206051129,Elwood,2000,0.339117889808487,-0.03937537123297978,-0.3977782838775334,32.77206845888905
206051130,Port Melbourne,2000,0.22028524575660172,-0.005576837128486905,-0.26787738837592334,32.989320841862565
206051134,St Kilda East,2000,0.30295979020098374,-0.02350923263238059,-0.3534002993752185,33.77370842739004
206051511,Port Melbourne Industrial,2000,0.14722623758716719,0.03019459587206697,-0.19397557810382304,35.215735278087735
206051512,South Melbourne,2000,0.18210397761830507,0.008993899057924427,-0.21765130062349172,33.733873772784754
206051513,St Kilda - Central,2000,0.2611667991971343,-0.02091690376439499,-0.30274074450641447,34.153180017782155
